Parent Name,Area Name,Sex,Time period,Value,Count,Compared to England value or percentiles,Compared to Region value or percentiles
London region,Barking and Dagenham,Persons,2019 - 21,8.81630761602811,44.0,Similar,Similar
London region,Barnet,Persons,2019 - 21,4.7682702575573,50.0,Better,Better
London region,Bexley,Persons,2019 - 21,7.22530420878012,47.0,Better,Similar
London region,Brent,Persons,2019 - 21,5.26452619498812,47.0,Better,Better
London region,Bromley,Persons,2019 - 21,5.13669185423053,43.0,Better,Better
London region,Camden,Persons,2019 - 21,8.89787050722334,55.0,Similar,Similar
London region,Croydon,Persons,2019 - 21,6.21614563977185,62.0,Better,Similar
London region,Ealing,Persons,2019 - 21,9.78485483593144,83.0,Similar,Worse
London region,Enfield,Persons,2019 - 21,5.30838904680476,44.0,Better,Better
London region,Greenwich,Persons,2019 - 21,6.83792029192535,47.0,Better,Similar
London region,Hackney,Persons,2019 - 21,8.59745690432151,56.0,Similar,Similar
London region,Hammersmith and Fulham,Persons,2019 - 21,12.9122748992518,70.0,Similar,Worse
London region,Haringey,Persons,2019 - 21,7.24060098674667,50.0,Better,Similar
London region,Harrow,Persons,2019 - 21,5.37467391304082,34.0,Better,Similar
London region,Havering,Persons,2019 - 21,8.44726534102315,57.0,Similar,Similar
London region,Hillingdon,Persons,2019 - 21,8.82920836473241,70.0,Similar,Similar
London region,Hounslow,Persons,2019 - 21,8.84216534748439,63.0,Similar,Similar
London region,Islington,Persons,2019 - 21,7.85897970091733,41.0,Similar,Similar
London region,Kensington and Chelsea,Persons,2019 - 21,10.238240016221,43.0,Similar,Worse
London region,Kingston upon Thames,Persons,2019 - 21,7.898383341161,36.0,Similar,Similar
London region,Lambeth,Persons,2019 - 21,5.66021503907758,45.0,Better,Similar
London region,Lewisham,Persons,2019 - 21,8.33323816207768,62.0,Similar,Similar
London region,Merton,Persons,2019 - 21,6.47971184974019,37.0,Better,Similar
London region,Newham,Persons,2019 - 21,5.96318089843264,54.0,Better,Similar
London region,Redbridge,Persons,2019 - 21,7.68050826574394,57.0,Better,Similar
London region,Richmond upon Thames,Persons,2019 - 21,7.08396120409127,37.0,Better,Similar
London region,Southwark,Persons,2019 - 21,9.015501957911,70.0,Similar,Similar
London region,Sutton,Persons,2019 - 21,10.6037376280693,56.0,Similar,Worse
London region,Tower Hamlets,Persons,2019 - 21,6.6255198466913,58.0,Better,Similar
London region,Waltham Forest,Persons,2019 - 21,6.53554395015776,47.0,Better,Similar
London region,Wandsworth,Persons,2019 - 21,7.45814876873603,60.0,Better,Similar
London region,Westminster,Persons,2019 - 21,7.3886616061657,51.0,Better,Similar
East of England region,Cambridgeshire,Persons,2019 - 21,10.3598621774182,180.0,Similar,Similar
North West region,Cumbria,Persons,2019 - 21,15.5461997263798,199.0,Worse,Worse
East Midlands region,Derbyshire,Persons,2019 - 21,11.5117148180362,244.0,Similar,Similar
South West region,Devon,Persons,2019 - 21,12.4554557998714,263.0,Worse,Similar
South East region,East Sussex,Persons,2019 - 21,12.1312203793453,179.0,Similar,Similar
East of England region,Essex,Persons,2019 - 21,10.7418165410644,418.0,Similar,Similar
South West region,Gloucestershire,Persons,2019 - 21,11.3058921817527,192.0,Similar,Similar
South East region,Hampshire,Persons,2019 - 21,8.93620111214141,321.0,Better,Better
East of England region,Hertfordshire,Persons,2019 - 21,7.70560999077166,238.0,Better,Better
South East region,Kent,Persons,2019 - 21,11.6548788588421,479.0,Worse,Similar
North West region,Lancashire,Persons,2019 - 21,13.4818001108043,425.0,Worse,Worse
East Midlands region,Leicestershire,Persons,2019 - 21,8.69072810649886,164.0,Better,Better
East Midlands region,Lincolnshire,Persons,2019 - 21,12.1011017946644,242.0,Worse,Worse
East of England region,Norfolk,Persons,2019 - 21,10.580014334293,256.0,Similar,Similar
Yorkshire and the Humber region,North Yorkshire,Persons,2019 - 21,11.3438800849216,183.0,Similar,Similar
East Midlands region,Nottinghamshire,Persons,2019 - 21,10.2888737964297,226.0,Similar,Similar
South East region,Oxfordshire,Persons,2019 - 21,10.0324773658941,181.0,Similar,Similar
South West region,Somerset,Persons,2019 - 21,15.0541649382869,219.0,Worse,Worse
West Midlands region,Staffordshire,Persons,2019 - 21,11.910168602373,277.0,Worse,Similar
East of England region,Suffolk,Persons,2019 - 21,10.3875050709301,208.0,Similar,Similar
South East region,Surrey,Persons,2019 - 21,10.0968174654603,316.0,Similar,Similar
West Midlands region,Warwickshire,Persons,2019 - 21,11.2150520169177,172.0,Similar,Similar
South East region,West Sussex,Persons,2019 - 21,11.5333120198493,265.0,Similar,Similar
West Midlands region,Worcestershire,Persons,2019 - 21,12.0157921156481,186.0,Similar,Similar
